,text,username,timestamp,location,likes,clean_tweet,negative,neutral,positive,compound,analysis,pca_x,pca_y,pca_z,y,cluster,tsne_x,tsne_y
0,@TEARHOYAA Inbox me with your PayPal account or Apple Pay for instant payment,legitimatemummy,Thu Sep 30 21:00:27 +0000 2021,,136,inbox paypal account apple pay instant payment,0.189,0.811,0.0,-0.1027,negative,-0.028345261146934624,-0.10539274774588502,0.2627128847347125,4,4,-73.93184,41.20185
1,@Apple What the fuck is this😂,Trullyzx1,Thu Sep 30 21:00:27 +0000 2021,,2,fuck this😂,0.409,0.303,0.288,-0.1531,negative,-0.047233046097750156,0.010043742547566436,-0.044245186183883595,5,5,-223.34981,-29.25002
2,"RT @dimash_usa: Dimash’s new single, “Fly Away”, is now available for purchase, download and streaming across all major music platforms! 🕺💃…",ChevaLyuda,Thu Sep 30 21:00:27 +0000 2021,,5568,usa dimash’s new single “fly away” available purchase download stream across major music platform 🕺💃…,0.0,1.0,0.0,0.0,neutral,-0.06912202258823873,-0.004190781722378606,-0.057707569672576065,5,5,81.01585,120.032135
3,"My Apple Watch October goal about to be hectic, I just know it😵‍💫🤷🏾‍♂️💪🏾",StopItSims,Thu Sep 30 21:00:27 +0000 2021,"New Mexico, USA",15850,apple watch october goal hectic know it😵‍💫🤷🏾‍♂️💪🏾,0.16,0.84,0.0,-0.4215,negative,-0.023710115712773695,-0.08832983394409501,0.16027439206461552,1,1,-81.42055,-54.894028
4,#MayfairWorld newest Podcast episode Lunch Break with Alice and Liv is Live! Listen NOW: https://t.co/Cbue5m8diD,THEMAYFAIRGR0UP,Thu Sep 30 21:00:28 +0000 2021,Global ,2059,new podcast episode lunch break alice liv live listen,0.0,1.0,0.0,0.0,neutral,0.039340538985120105,0.010759455938861944,-0.15634753174971083,1,1,-56.826374,110.68402
5,Now Playing . Be Right Back! by ADWTAG_122000 On https://t.co/ttDs9OfHyy.....ROCKIN626! Download the app from here:… https://t.co/0yixzPGFRM,ROCKIN6to6,Thu Sep 30 21:00:28 +0000 2021,,0,play right back adwtag 122000 download app …,0.0,0.745,0.255,0.34,positive,-0.06744243828015994,-0.013487276187741705,-0.06568380210109458,8,8,-116.9145,-125.69624
6,@dwtl0vebot apple bottom jeans boots with the fur!!!!!!!!!!,Bi_Opossum1,Thu Sep 30 21:00:29 +0000 2021,,770,apple bottom jean boot fur,0.0,1.0,0.0,0.0,neutral,-0.02093387669656761,-0.05447812267140477,0.08794325429235907,4,4,-42.248188,18.830517
7,"CNN's @JohnAvlon says the ""incentive structure"" driving politics and media is totally ""screwed up."" He explains why… https://t.co/oLgsbj9lut",Mediaite,Thu Sep 30 21:00:29 +0000 2021,"New York, NY",1539,cnn say incentive structure drive politics medium totally screw explains why…,0.128,0.682,0.189,0.204,positive,-0.05705685510451344,0.012071098193730024,-0.07892118853988074,3,3,-62.05302,-60.501225
8,Put your apple-picking bounty to good use with this dessert that's part apple pie and part caramel-coated Halloween… https://t.co/AtQyHqEKzY,gardenandgun,Thu Sep 30 21:00:29 +0000 2021,"Charleston, South Carolina·",4421,put apple pick bounty good use dessert part apple pie part caramel coat halloween…,0.0,0.818,0.182,0.4404,positive,-0.01934554921153771,-0.07456313675482162,0.09902665903787838,4,4,19.769684,-31.090391
9,"https://t.co/qAII5e6rS3
https://t.co/qAII5e6rS3

My iPhone 13 Pro unboxing is live! 

I really focused on the 60hz… https://t.co/j9bRnntm5Q",itssaraekaryn,Thu Sep 30 21:00:29 +0000 2021,,14178,iphone 13 pro unbox live really focus 60hz…,0.0,1.0,0.0,0.0,neutral,-0.06547470257765498,-0.0025934006002056005,-0.056660014681170864,5,5,-113.62276,103.22781
10,Researchers Find Locked iPhones With Visa Cards Connected to Apple Pay Can Be Hacked https://t.co/6FPhdVBnMP,ZaqsTech,Thu Sep 30 21:00:29 +0000 2021,"Boston, MA",88,researcher find locked iphones visa card connect apple pay hack,0.135,0.865,0.0,-0.1027,negative,-0.03508576558675449,-0.10061917388487672,0.2505542690262975,4,4,133.38478,-13.637677
11,RT @shysmith: You have to be insane to make a song like this like oh my god……. https://t.co/jQEfY5g5Q3,badiriphakedi,Thu Sep 30 21:00:30 +0000 2021,🇧🇼,101903,insane make song like like oh god……,0.231,0.342,0.427,0.3182,positive,0.022819044939721898,-0.036040654205774986,0.01629958492517133,2,2,-3.5140226,15.229921
12,"RT @_CharityStripe_: Here’s a clip from our latest show with @QCosby17 &amp; @TheJohnDiarse talking Texas-TCU

Here’s the link for the full sho…",Nick_Kreider,Thu Sep 30 21:00:31 +0000 2021,So Cal 🇺🇸,18821,charitystripe here’s clip late show amp talk texas tcu here’s link full sho…,0.0,1.0,0.0,0.0,neutral,-0.0719367888913415,0.05602283518855381,-0.09973360378132544,8,8,72.8579,-194.3767
13,"RT @allareblessed: For the first time since June, the number of projected COVID deaths in the U.S. is decreasing - CNN https://t.co/Mv4fMxt…",OdiaVlogDuh,Thu Sep 30 21:00:32 +0000 2021,Southern Hemisphere,63210,first time since june number project covid death u decrease cnn …,0.257,0.658,0.086,-0.5574,negative,-0.0031516098422027573,0.004096051509953695,-0.08899624165786535,5,5,-167.2548,-27.316332
14,@marcorubio Legal Expert: Detail In Weisselberg Indictment Could Be Bad News For Trump - HuffPost. Two sets of book… https://t.co/kgguOX5qju,DocPSU,Thu Sep 30 21:00:32 +0000 2021,NY,347,legal expert detail weisselberg indictment could bad news trump huffpost two set book…,0.219,0.688,0.094,-0.4588,negative,-0.05201593145079276,-0.0030216429346675835,-0.05166151695568873,5,5,-169.12067,137.51141
15,"THEY BEEN KILLING LEGENDS I REFUSE TO PUT MY POLE UP, FOE NEM TRIGGA HAPPY BET THEM BULLET FUCK HIS SOUL UP https://t.co/iFWFrgpLvy",bsbbry,Thu Sep 30 21:00:32 +0000 2021,chicago,3770,kill legend refuse put pole foe nem trigga happy bet bullet fuck soul,0.532,0.32,0.148,-0.8625,negative,-0.045717376935565025,0.007061881748651633,-0.05097566888629208,5,5,-207.28099,-3.8717518
16,⁦@tnatw⁩ Salesforce CEO Marc Benioff says 'we're not all going back' to the office @CNBC https://t.co/qoickFmJNb,davidcrais,Thu Sep 30 21:00:32 +0000 2021,NOLA Distributed ,40341,⁦@tnatw⁩ salesforce ceo marc benioff say go back office,0.0,1.0,0.0,0.0,neutral,-0.05886035593888714,0.00026000238287356625,-0.04981514886438424,3,3,-191.74968,21.834839
